clause,chapter,ko,star,requirement,tracker_status,owner,due,named_evidence,verified_grade_11aug,verified_note_11aug,internal_audit_14aug,internal_audit_note
4.20.4,4,,*,"The food fraud vulnerability assessment shall be reviewed, at least once within a 12-month period or whenever significant changes occur. If necessary, the food fraud mitigation plan shall be revised/ updated accordingly.",Done,Ana Štravs,1.4. 2026,FF-01 VACCP Plan.docx,,,,
4.21.1,4,,,The responsibilities for food defence shall be defined. The responsible person(s) shall have the appropriate specific knowledge.,In progress,Maj Hrovat,1.6. 2026,,C,"Substantive approved TACCP study (TC-01 v3.0) exists in Odoo Knowledge, reviewed 6.7.2026, but not a controlled document in the Drive",,
4.21.2,4,,*,"A food defence procedure and plan shall be documented, implemented and maintained to identify potential threats and define food defence measures. This shall include, at a minimum: • legal requirements • identification of critical areas and/or practices and policy of access by employees • visitors an",In progress,Maj Hrovat,1.6. 2026,,C,As above; Drive food defence folder had been archived,m,As 4.7.2 - food defence exposure on the external freezer containers
4.21.3,4,,,"The food defence plan shall be tested for effectiveness and reviewed at least once within a 12-month period or whenever significant changes occur. 5 Measurements, analyses, improvements",In progress,Maj Hrovat,1.6. 2026,,C,No documented food defence test,m,Food defence plan exists but its effectiveness has never been tested
5.1.1,5,8,*,"An effective internal audit program shall be documented, implemented and maintained and shall ensure, at a minimum, that all the requirements of the IFS Standard are audited. This activity shall be planned within a 12-month period and its execution shall not exceed 15 months. The company shall have ",In progress,Ana Štravs,1.4. 2026,,KO-D,"No internal audit programme for 2025 or 2026, no risk assessment driving frequency, the standard had never been audited, off-site storage not covered",MAJOR,"Internal audit plan (1x/year) and plant inspection plan (monthly/quarterly) exist, but frequency is not based on risk assessment and previous results history"
5.1.2,5,,,The auditors shall be competent and independent from the audited department.,Done,Ana Štravs,1.4. 2026,Tečaj za notranjega presojevalca,,,,
5.1.3,5,,,"Internal audits shall be documented and results communicated to the senior management and to the persons responsible for the concerned activities. Compliances, deviations and non-conformities shall be documented and communicated to the relevant persons.",Done,Ana Štravs,1.4. 2026,"Objava na Slacku (IFS kanal, management) Monthly management report OBR22 KOREKCIJE IN KOREKTIVNI UKREPI.xlsx",,,,
5.2.1,5,,*,"Site and factory inspections shall be planned and carried out for certain topics, like for example: • constructional status of production and storage premises • external areas • product control during processing • hygiene during processing and within the infrastructure • foreign material hazards • p",Not started,Maj Hrovat,1.6. 2026,,,,MAJOR,As 5.1.1 - inspection frequency not risk-based
5.3.1,5,,,The criteria for process validation and control shall be defined.,Done,Eva Grm,1.4. 2026,HS06: Plan in porocilo validacije (K)KT (2026),,,,
5.3.2,5,,,"Process parameters (temperature, time, pressure, chemical properties, etc.) which are essential to ensure the food safety and product quality shall be monitored, recorded continuously and/or at appropriate intervals and secured against unauthorised access and/or change.",In progress,Lucija Klopčič,1.4. 2026,,,,,
5.3.3,5,,*,"All rework operations shall be validated, monitored and documented. These operations shall not affect the food safety and product quality requirements.",Done,Eva Grm,1.4. 2026,HS06: Porocilo validacije (K)KT (2026),,,,
5.3.4,5,,,"Procedures shall be documented, implemented and maintained for prompt notification, recording and monitoring of equipment malfunction and process deviations. 71 IFS FOOD VERSION 8",Not started,Maj Hrovat,1.6. 2026,,,,,
5.3.5,5,,,"Process validation shall be performed using the collected data that is relevant for food safety and the processes. If substantial modifications occur, a re-validation shall be carried out.",Done,Eva Grm,1.4. 2026,HS06: Plan in porocilo validacije (K)KT (2026),,,,
5.4.1,5,,*,"Measuring and monitoring devices required to ensure compliance with food safety and product quality requirements shall be identified and recorded. Their calibration status shall be recorded. Measuring and monitoring devices shall be legally approved, if required by current relevant legislation.",Needs a review,Maj Hrovat,1.4. 2026,,,,,
5.4.2,5,,*,"All measuring devices shall be checked, monitored, adjusted and calibrated at defined intervals, in accordance with defined, recognised standard/methods and within relevant limits of the process parameter values. The results shall be documented.",Needs a review,Maj Hrovat,1.4. 2026,,D,Five measuring devices in use with expired or absent calibration; no impact assessment on product,,
5.4.3,5,,,"All measuring devices shall be used exclusively for their defined purpose. Where the results of measurements or the status of the device indicate a malfunction, the device in question shall be immediately repaired or replaced. Where a malfunction has been identified, the impact on processes and prod",Needs a review,Maj Hrovat,1.4. 2026,,D,OBR21 probe verification has no entry after 14.4.2025; 30.1-18.2.2025 records show identical values daily while the reference thermometer serial increments each day,,
5.5.1,5,,*,Compliance criteria to control lot quantity shall be defined. A system on frequency and methodology for quantity control shall be implemented and maintained to meet the legal requirements of the destination country/ies and customer specifications.,Done,Eva Grm,1.4. 2026,QP-3.8 Kontrola teže izdelkov,A,"QP-3.8 v9.0 carries full TNE/T1/T2 tables with SI, UK and US legal bases",,
5.5.2,5,,,"Quantity control monitoring shall be implemented and recorded, according to a sampling plan which ensures a proper representation of the manufacturing lot. The results from this monitoring shall be compliant with defined criteria for all products ready to be delivered.",Done,Eva Grm,1.4. 2026,QP-3.8 Kontrola teže izdelkov Home Assistant - HA Processing parameters,,,,
5.6.1,5,,*,"Testing and monitoring plans for internal and external analyses shall be documented and imple- mented and shall be risk-based to ensure that product safety, quality, legality, authenticity and specific customer requirements are met. The plans shall cover a minimum of: • raw materials • semi-finished",Done,"Eva Grm, Katarina Valentinčič",1.4. 2026,OP01 Varna in kakovostna živila INTERNI MONITORING MICRO - REZULTATI,,,,
5.6.2,5,,*,"Based on risks, the criteria for environmental monitoring program shall be documented, implemented and maintained. 72 IFS FOOD VERSION 8",Done,Eva Grm,1.4. 2026,QP-5.1 Monitoring okolja - Listeria monocytogenes in Legionella QP-2.4 Kontrola ustreznosti zraka,,,,
5.6.3,5,,*,"Analyses which are relevant for food safety shall preferably be performed by laboratories with appropriate accredited programs/methods (ISO/IEC 17025). If the analyses are performed internally or by a laboratory without the appropriate accredited programs/methods, the results shall be cross-checked ",Done,Eva Grm,1.4. 2026,AKREDITACIJE - zunanji laboratoriji,,,,
5.6.4,5,,,"Procedures shall be documented, implemented and maintained to ensure the reliability of the results from internal analyses, based on officially recognised analysis methods. This shall be demon- strated by ring tests or other proficiency tests.",Done,Eva Grm,1.4. 2026,Ni relavantno za nas,,,,
5.6.5,5,,,"Results of analyses shall be evaluated in a timely manner by competent personnel. Immediate corrections shall be implemented for any unsatisfactory results. Based on risks and legal requirements, the frequency for review of the testing and monitoring plan results shall be defined in order to identif",In progress,Eva Grm,1.4. 2026,OP01 Varna in kakovostna živila,MAJOR,"20.5.2026 Listeria-positive environmental swab has no correction, no re-swab, no source investigation, no closure. QP-5.1 defines what to do; it was not done",MAJOR,As 4.3.4
5.6.6,5,,,"Where internal analyses or controls are undertaken, these shall be carried out in accordance with defined procedures, by competent and approved personnel, in defined areas or laboratories, using appropriate equipment.",In progress,Eva Grm,1.4. 2026,OP01 Varna in kakovostna živila,,,,
5.6.7,5,,,"For monitoring of the quality of the finished product, internal organoleptic tests shall be carried out. These tests shall be in accordance with specifications and related to the impact on respective parameters of product characteristics. The results of these tests shall be documented.",In progress,"Eva Grm, Katarina Valentinčič",1.4. 2026,QP-3.6 Senzorična kontrola končnih produktov,,,,
5.6.8,5,,,"The testing and monitoring plans shall be regularly reviewed and updated, based on results, changes to legislation or issues that may have an impact on product safety, quality, legality and authenticity.",In progress,"Eva Grm, Katarina Valentinčič",1.4. 2026,"Interni monitoring, analize 2025/2026",,,,
5.7.1,5,,*,"A procedure for quarantine (blocking/hold) shall be documented, implemented and maintained to ensure that only raw materials, semi-finished and finished products, and packaging materials, complying with food safety, product quality, legality, authenticity and customer requirements, are processed and",Done,Eva Grm,1.4. 2026,DN15 SPROSTITEV IN RAVNANJE Z NESKLADNIMI IZDELKI V3.docx,,,,
5.8.1,5,,*,"A procedure shall be documented, implemented and maintained for the management of product complaints and of any written notification from the competent authorities – within the framework of official controls –, any ordering action or measure to be taken when non-compliance is identified.",Needs a review,Lara Podlesnik,1.4. 2026,,,,,
5.8.2,5,,*,"All complaints shall be recorded, be readily available and assessed by competent staff. Where it is justified, actions shall be taken immediately.",Needs a review,Lara Podlesnik,1.4. 2026,,D,Odoo Helpdesk queues hold zero tickets; the one real 2026 product complaint is untagged and unassigned free text,,
5.8.3,5,,,Complaints shall be analysed with a view to implementing actions to avoid the recurrence of the deviations and/or non-conformities.,Needs a review,"Ana Štravs, Katarina Valentinčič",1.4. 2026,,,,,
5.8.4,5,,,The results of complaint data analysis shall be made available to the relevant responsible persons. 73 IFS FOOD VERSION 8,Needs a review,"Ana Štravs, Katarina Valentinčič",1.4. 2026,DN18 VODENJE PRITOŽB IN REKLAMACIJ.docx OBR17 REKLAMACIJA KUPCA.xlsx,,,,
5.9.1,5,9,*,"An effective procedure shall be documented, implemented and maintained for the management of recalls, withdrawals, incidents and potential emergency situations with an impact on food safety, product quality, legality and authenticity. It shall include, at a minimum: • the assignment of responsibilit",In progress,Ana Štravs,1.4. 2026,,KO-PASS-B,"The one clean KO. Procedure, alert contacts, 3-language consumer notices, authority and CB routes all exist and were used correctly in the real 23.1.2026 recall",,
5.9.2,5,,*,"The procedure shall be subject to internal testing for recall/withdrawal, by covering the end-to-end process. This activity shall be planned within a 12-month period and its execution shall not exceed 15 months. The outcome of the test shall be reviewed for continuous improvement.",In progress,"Ana Štravs, Luka Sinček",1.4. 2026,,C,"January 2026 recall has no closed root cause analysis; the recall notice says RCA ""currently being conducted"" - seven months ago",,
5.10.1,5,,*,"A procedure shall be documented, implemented and maintained for the management of all non-conforming raw materials, semi-finished products, finished products, processing equipment and packaging materials. This shall include, at a minimum: • defined responsibilities • isolation/quarantine procedures ",Done,Eva Grm,1.4. 2026,DN15 SPROSTITEV IN RAVNANJE Z NESKLADNIMI IZDELKI V3.docx,,,,
5.10.2,5,,,The procedure for the management of non-conforming products shall be understood and applied by all relevant employees.,Done,Eva Grm,1.4. 2026,https://business.juicymarbles.com/slides/izobrazevanje-blokirani-produkti-in-karantena-16 BLOK-01: Blokirani produkti/polprodukti + karantena,,,,
5.10.3,5,,,"Where non-conforming products are identified, immediate actions shall be taken to ensure that food safety and product quality requirements are complied with.",Done,Eva Grm,1.4. 2026,DN15 SPROSTITEV IN RAVNANJE Z NESKLADNIMI IZDELKI V3.docx,,,,
5.10.4,5,,,Finished products (including packaging) that are out of specification shall not be placed on the market under the corresponding label unless a written approval of the brand owner is available. 74 IFS FOOD VERSION 8,In progress,"Eva Grm, Rok Mejaš",1.4. 2026,DN15 SPROSTITEV IN RAVNANJE Z NESKLADNIMI IZDELKI V3.docx beleženje količine odpada preko sistema odoo,,,,
5.11.1,5,,*,"A procedure for the management of corrections and corrective actions shall be documented, implemented and maintained for the recording, analysis, and communication to the relevant persons of deviations, non-conformities and non-conforming products, with the objective to close the deviations and/or n",In progress,Ana Štravs,1.4. 2026,DN-19 Korekcije in korektivni ukrepi.docx OBR22 KOREKCIJE IN KOREKTIVNI UKREPI.xlsx,C,No corrective action record for the January 2026 recall,,
5.11.2,5,,,"Where deviations and non-conformities are identified, corrections shall be implemented.",In progress,Ana Štravs,1.4. 2026,DN-19 Korekcije in korektivni ukrepi.docx OBR22 KOREKCIJE IN KOREKTIVNI UKREPI.xlsx,,,,
5.11.3,5,10,*,"Corrective actions shall be formulated, documented and implemented as soon as possible to avoid the further occurrence of deviations and non-conformities. The responsibilities and the timescales for corrective actions shall be defined.",In progress,Ana Štravs,1.4. 2026,DN-19 Korekcije in korektivni ukrepi.docx OBR22 KOREKCIJE IN KOREKTIVNI UKREPI.xlsx,KO-D,"OBR22 has zero entries for 2026: the recall, the Listeria positive, the ATP stoppage and all 24.7.2025 internal audit findings are absent; two 2023 entries open 3 years past deadline",MAJOR,As 4.3.4
5.11.4,5,,,The effectiveness of the implemented corrections and corrective actions shall be assessed and the results of the assessment documented. 75 IFS FOOD VERSION 8 PART 3 0 Introduction 78 1 Requirements for the accreditation bodies 78 2 Requirements for the certification bodies 80,In progress,Ana Štravs,1.4. 2026,DN-19 Korekcije in korektivni ukrepi.docx OBR22 KOREKCIJE IN KOREKTIVNI UKREPI.xlsx,,,,
